D2,shift,inv_ratio,sim,median_delay
4,2,0.25,9,131.0
4,2,0.25,10,185.5
4,2,0.25,11,38.5
4,2,0.25,12,13.0
4,2,0.25,13,67.0
4,2,0.25,14,16.5
4,2,0.25,15,66.0
4,2,0.25,16,41.5
4,2,0.25,17,38.5
4,2,0.25,18,38.0
4,2,0.25,19,13.0
4,2,0.5,0,4.0
4,2,0.5,1,13.5
4,2,0.5,2,124.0
4,2,0.5,3,57.0
4,2,0.5,4,666.5
4,2,0.5,5,3.0
4,2,0.5,6,25.0
4,2,0.5,7,27.0
4,2,0.5,8,36.5
4,2,0.5,9,22.0
4,2,0.5,10,28.5
4,2,0.5,11,286.0
4,2,0.5,12,15.5
4,2,0.5,13,20.0
4,2,0.5,14,33.5
4,2,0.5,15,12.0
4,2,0.5,16,15.5
4,2,0.5,17,64.5
4,2,0.5,18,222.5
4,2,0.5,19,6.0
4,2,0.75,0,18.5
4,2,0.75,1,48.5
4,2,0.75,2,23.5
4,2,0.75,3,89.5
4,2,0.75,4,7.0
4,2,0.75,5,14.5
4,2,0.75,6,23.5
4,2,0.75,7,47.5
4,2,0.75,8,231.0
4,2,0.75,9,24.5
4,2,0.75,10,19.5
4,2,0.75,11,14.0
4,2,0.75,12,1.0
4,2,0.75,13,30.5
4,2,0.75,14,108.5
4,2,0.75,15,30.0
4,2,0.75,16,85.0
4,2,0.75,17,221.0
4,2,0.75,18,107.0
4,2,0.75,19,14.5
4,2,1.0,0,124.0
4,2,1.0,1,16.0
4,2,1.0,2,22.5
4,2,1.0,3,18.0
4,2,1.0,4,29.5
4,2,1.0,5,26.5
4,2,1.0,6,23.0
4,2,1.0,7,48.5
4,2,1.0,8,25.0
4,2,1.0,9,89.0
4,2,1.0,10,8.5
4,2,1.0,11,41.5
4,2,1.0,12,27.0
4,2,1.0,13,119.5
4,2,1.0,14,140.0
4,2,1.0,15,58.5
4,2,1.0,16,79.5
4,2,1.0,17,67.0
4,2,1.0,18,55.0
4,2,1.0,19,38.5
5,0,0.0,0,60.5
5,0,0.0,1,34.5
5,0,0.0,2,30.5
5,0,0.0,3,12.0
5,0,0.0,4,17.5
5,0,0.0,5,47.0
5,0,0.0,6,3.0
5,0,0.0,7,51.5
5,0,0.0,8,102.5
5,0,0.0,9,21.5
5,0,0.0,10,65.0
5,0,0.0,11,13.5
5,0,0.0,12,69.0
5,0,0.0,13,13.5
5,0,0.0,14,20.0
5,0,0.0,15,23.0
5,0,0.0,16,225.0
5,0,0.0,17,77.0
5,0,0.0,18,36.0
5,0,0.0,19,1.0
5,0,0.25,0,60.5
5,0,0.25,1,38.0
5,0,0.25,2,15.0
5,0,0.25,3,25.5
5,0,0.25,4,23.0
5,0,0.25,5,52.5
5,0,0.25,6,32.0
5,0,0.25,7,11.0
5,0,0.25,8,39.5
5,0,0.25,9,53.0
5,0,0.25,10,44.0
5,0,0.25,11,54.5
5,0,0.25,12,17.0
5,0,0.25,13,11.0
5,0,0.25,14,33.0
5,0,0.25,15,69.5
5,0,0.25,16,602.0
5,0,0.25,17,4.0
5,0,0.25,18,58.0
5,0,0.25,19,1.0
5,0,0.5,0,17.5
5,0,0.5,1,26.0
5,0,0.5,2,20.0
5,0,0.5,3,25.5
5,0,0.5,4,13.5
5,0,0.5,5,55.0
5,0,0.5,6,76.0
5,0,0.5,7,28.0
5,0,0.5,8,35.5
5,0,0.5,9,46.0
5,0,0.5,10,36.0
5,0,0.5,11,28.0
5,0,0.5,12,11.0
5,0,0.5,13,3.0
5,0,0.5,14,20.0
5,0,0.5,15,117.0
5,0,0.5,16,20.0
5,0,0.5,17,35.0
5,0,0.5,18,42.5
5,0,0.5,19,346.0
5,0,0.75,0,1.0
5,0,0.75,1,135.5
5,0,0.75,2,61.5
5,0,0.75,3,37.0
5,0,0.75,4,4.0
5,0,0.75,5,22.5
5,0,0.75,6,29.0
5,0,0.75,7,77.0
5,0,0.75,8,39.0
5,0,0.75,9,32.5
5,0,0.75,10,16.0
5,0,0.75,11,50.0
5,0,0.75,12,304.0
5,0,0.75,13,22.0
5,0,0.75,14,92.0
5,0,0.75,15,14.0
5,0,0.75,16,13.5
5,0,0.75,17,4.0
5,0,0.75,18,84.5
5,0,0.75,19,27.0
5,0,1.0,0,18.0
5,0,1.0,1,30.0
5,0,1.0,2,34.0
5,0,1.0,3,19.5
5,0,1.0,4,7.0
5,0,1.0,5,17.5
5,0,1.0,6,73.0
5,0,1.0,7,32.0
5,0,1.0,8,122.0
5,0,1.0,9,10.0
5,0,1.0,10,9.0
5,0,1.0,11,41.5
